cohort,cohort_years,dod_occ_code_level,dod_occ_code,geo_level,geography,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_earn,status_y5_earn,status_y10_earn,y1_nonemp,y5_nonemp,y10_nonemp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp
2000,8,2,13X,S,15,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,16,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,17,59,71,,18840,35150,,38830,47430,,54490,70530,,1,1,5,1,1,5,,,,,,
2000,8,2,13X,S,18,60,63,,21640,24900,,36580,37480,,45370,54870,,1,1,5,1,1,5,,,,,,
2000,8,2,13X,S,19,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,20,55,59,,28950,34750,,38380,45720,,53660,59040,,1,1,5,1,1,5,,,,,,
2000,8,2,13X,S,21,94,86,,24730,36880,,39460,51490,,56230,65270,,1,1,5,1,1,5,,,,,,
2000,8,2,13X,S,22,57,56,,28610,28110,,37710,44590,,53550,52620,,1,1,5,1,1,5,,,,,,
2000,8,2,13X,S,23,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,24,155,152,76,34660,48120,49020,48270,62620,69870,62960,78730,87560,1,1,1,1,1,1,,,,,,
2000,8,2,13X,S,25,,,,,,,,,,,,,-1,5,5,-1,5,5,,,,,,
2000,8,2,13X,S,26,,64,,,29780,,,46750,,,60460,,5,1,5,5,1,5,,,,,,
2000,8,2,13X,S,27,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,28,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,29,59,88,,23340,33140,,32300,46750,,43590,60460,,1,1,5,1,1,5,,,,,,
2000,8,2,13X,S,30,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,31,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,32,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,33,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,34,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,35,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,36,80,105,68,26780,35000,39580,37610,45430,54280,55120,63780,75120,1,1,1,1,1,1,,,,,,
2000,8,2,13X,S,37,174,175,85,23730,35810,39640,37980,48230,56790,51940,62460,75530,1,1,1,1,1,1,,,,,,
2000,8,2,13X,S,38,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,39,77,84,,23880,28670,,34000,44000,,49690,54620,,1,1,5,1,1,5,,,,,,
2000,8,2,13X,S,40,62,57,,20720,30830,,29780,45550,,45030,58680,,1,1,5,1,1,5,,,,,,
2000,8,2,13X,S,41,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,42,65,105,51,28470,37260,35150,35940,49240,53450,52050,65880,78560,1,1,1,1,1,1,,,,,,
2000,8,2,13X,S,44,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,45,77,79,51,26650,32610,37480,39820,46060,49800,55370,65410,67570,1,1,1,1,1,1,,,,,,
2000,8,2,13X,S,46,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,47,101,92,51,23790,28110,37840,33800,39920,47600,43320,53240,67570,1,1,1,1,1,1,,,,,,
2000,8,2,13X,S,48,790,804,344,29240,37830,41790,41740,52980,58070,59570,70500,79450,1,1,1,1,1,1,,,,,,
2000,8,2,13X,S,49,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,50,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,51,193,213,130,30730,44070,49080,43370,58830,68080,61620,81550,97320,1,1,1,1,1,1,,,,,,
2000,8,2,13X,S,53,169,161,61,29120,39560,38830,39180,53780,60930,52510,67840,82240,1,1,1,1,1,1,,,,,,
2000,8,2,13X,S,54,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,55,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,56,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,14X,S,01,160,163,136,27400,43810,44690,42270,57840,64610,64020,75200,86470,1,1,1,1,1,1,,,,,,
2000,8,2,14X,S,02,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,14X,S,04,68,142,115,30340,32130,37480,41920,47150,55120,56620,64470,75940,1,1,1,1,1,1,,,,,,
2000,8,2,14X,S,05,,51,,,34000,,,50930,,,66860,,5,1,5,5,1,5,,,,,,
2000,8,2,14X,S,06,265,299,255,24080,29430,39620,37880,49180,61450,54660,69960,85720,1,1,1,1,1,1,,,,,,
2000,8,2,14X,S,08,121,125,96,28020,31880,44590,38160,44690,59360,53870,71840,83880,1,1,1,1,1,1,,,,,,
2000,8,2,14X,S,09,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,14X,S,10,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
