cohort,cohort_years,ind_level,industry,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_earn,status_y5_earn,status_y10_earn,y1_nonemp,y5_nonemp,y10_nonemp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp
2012,2,N,23,3321,,,22130,,,30710,,,42380,,,1,-1,-1,1,-1,-1,,,,,,
2012,2,N,31-33,4839,,,24580,,,34070,,,47300,,,1,-1,-1,1,-1,-1,,,,,,
2012,2,N,42,2266,,,23890,,,33300,,,46130,,,1,-1,-1,1,-1,-1,,,,,,
2012,2,N,44-45,4301,,,17500,,,22760,,,32100,,,1,-1,-1,1,-1,-1,,,,,,
2012,2,N,48-49,3189,,,22170,,,31360,,,43940,,,1,-1,-1,1,-1,-1,,,,,,
2012,2,N,51,955,,,27300,,,38100,,,57660,,,1,-1,-1,1,-1,-1,,,,,,
2012,2,N,52,802,,,22330,,,31650,,,44060,,,1,-1,-1,1,-1,-1,,,,,,
2012,2,N,53,643,,,21700,,,29640,,,42840,,,1,-1,-1,1,-1,-1,,,,,,
2012,2,N,54,4639,,,38730,,,60170,,,87610,,,1,-1,-1,1,-1,-1,,,,,,
2012,2,N,55,467,,,23500,,,35220,,,55770,,,1,-1,-1,1,-1,-1,,,,,,
2012,2,N,56,6221,,,19170,,,26040,,,38080,,,1,-1,-1,1,-1,-1,,,,,,
2012,2,N,61,1072,,,24610,,,39570,,,54330,,,1,-1,-1,1,-1,-1,,,,,,
2012,2,N,62,1836,,,19970,,,27880,,,39290,,,1,-1,-1,1,-1,-1,,,,,,
2012,2,N,71,412,,,17660,,,23570,,,32300,,,1,-1,-1,1,-1,-1,,,,,,
2012,2,N,72,1572,,,16680,,,20920,,,28810,,,1,-1,-1,1,-1,-1,,,,,,
2012,2,N,81,1074,,,21050,,,29820,,,43970,,,1,-1,-1,1,-1,-1,,,,,,
2012,2,N,92,2788,,,25180,,,32650,,,40500,,,1,-1,-1,1,-1,-1,,,,,,
2012,2,N,99,2748,,,31140,,,40090,,,52860,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,11,120,,,21280,,,27780,,,42570,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,21,484,,,37270,,,53280,,,72320,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,22,150,,,30710,,,40180,,,57340,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,23,2115,,,24050,,,33320,,,45520,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,31-33,2581,,,25320,,,34570,,,47660,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,42,1294,,,25620,,,35140,,,46660,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,44-45,2613,,,17740,,,23650,,,33890,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,48-49,1859,,,22780,,,32370,,,45150,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,51,496,,,26520,,,36580,,,56140,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,52,429,,,23420,,,35510,,,51410,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,53,391,,,23700,,,33650,,,45330,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,54,2005,,,34730,,,53520,,,75070,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,55,257,,,23320,,,35630,,,54670,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,56,3112,,,19730,,,27660,,,39140,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,61,520,,,23940,,,37320,,,55480,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,62,1053,,,19610,,,28470,,,40420,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,71,261,,,17750,,,22600,,,33280,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,72,903,,,16680,,,21610,,,28860,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,81,582,,,20970,,,30260,,,43800,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,92,1658,,,27010,,,34870,,,43260,,,1,-1,-1,1,-1,-1,,,,,,
2014,2,N,99,1710,,,32100,,,40240,,,51210,,,1,-1,-1,1,-1,-1,,,,,,
